Health Exp 2019 per capita,Health Exp 2019 per capita PPP,Physicians,Nurses and midwives
65.8,285.6,0.2,0.4
274.9,727,1.6,5.1
248.2,750.4,1.7,1.5
..,..,..,..
2744.2,3716.3,3.3,4
71.3,178,0.2,0.4
760.3,1016.5,2.8,9.1
946,2198.9,4.1,2.6
524,1616.2,2.9,5
..,..,..,..
5427.5,5294.5,3.9,13.1
5242.2,6134.1,5.3,7.1
193.1,605.9,3.2,6.4
2004.6,2227.6,1.9,4.6
940.4,1880.6,0.9,2.5
45.9,123.3,0.6,0.4
1143.3,1028.8,2.5,3.1
399.4,1198.6,4.5,11
4960.4,5846.9,3.1,11.7
293.4,445.7,1.1,2.3
29.1,82,0.1,0.3
..,..,..,..
116,432.1,0.5,1.8
245.9,630.8,1,1.6
553.8,1476.8,2.2,5.7
481.5,1122.1,0.4,5.5
853.4,1497.8,2.3,7.4
671.6,1400.9,1.6,5.9
697.9,1797.5,4.2,4.8
42.3,122.4,0.1,0.9
20.6,61.8,0.1,0.7
177.9,369.7,0.8,1.3
113.3,316,0.2,1
54,136.2,0.1,0.4
5048.4,5520.7,2.4,11.4
..,..,..,..
37.2,78.4,0.1,0.3
29.9,69.4,0.1,0.1
..,..,..,..
1375.8,2424.1,2.7,4.8
535.1,880.2,2.2,3.1
..,..,..,..
..,..,..,..
495.3,1204.3,2.3,1.4
72.3,168.6,0.3,1.5
20.6,40.6,0.4,1.1
48.6,81.7,0.1,1
921.6,1636.2,2.9,3.4
75.1,179.6,0.2,0.7
1040.1,2167.8,3.5,6.2
1031.9,2599.5,8.4,7.6
..,..,..,..
1996.5,3017.3,3.1,4
1844.2,3477,4.1,8.9
6003.3,6015.5,4.2,10.5
61.8,104.1,0.2,0.7
440.2,675.4,1.1,6.1
491.1,1140,1.5,1.5
486.5,934.5,2.2,2.5
149.8,582.2,0.7,1.9
300.1,656.7,2.9,1.8
254.9,607.4,0.4,0.3
25.3,81.8,0.1,1.4
1598.8,2616.8,3.5,6.6
264.1,610.5,0.2,4.1
26.7,75.1,0.1,0.7
..,..,..,..
235.7,545.3,0.9,4
4450.3,4710.2,4.6,22.3
4491.7,5492.5,3.3,11.8
..,..,..,..
215,432.2,0.6,2.9
29.7,88.7,0.1,0.6
291.1,970.2,7.1,5.2
5440.3,6738.7,4.4,14.2
75.3,193.2,0.1,2.7
1500.6,2418.8,6.3,3.7
..,..,..,..
534.3,879.5,1.4,6.3
..,..,..,..
271,529.1,0.4,1.3
43,119.6,0.2,0.6
62.6,186.4,0.2,0.7
325.9,673.6,1.8,2.7
57,143.5,0.2,0.4
187.6,435.7,0.3,0.7
1062.4,2155.9,3.5,6.9
6275,5636.4,4.1,17.2
63.7,211,0.7,1.7
120.1,358.3,0.5,3.8
470.4,868.2,1.6,2.1
253.3,483.3,0.7,2
5428.6,6010.1,3.4,13
..,..,..,..
3456.4,3326.3,3.6,5.6
2905.5,3998,4,6.4
327.4,597.9,0.5,0.9
